Threads: 10, Passes: 8, PixelCount: 278240, Checksum: 17737800, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 10000, Internal Data Type: 4, Iteration Sum: 0, Time: 13.05
Threads: 10, Passes: 8, PixelCount: 491946, Checksum: 79451405, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 10000, Internal Data Type: 4, Iteration Sum: 53043293, Time: 28.11
Threads: 10, Passes: 8, PixelCount: 491946, Checksum: 31314255, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 10000, Internal Data Type: 4, Iteration Sum: 0, Time: 0.22
Threads: 10, Passes: 8, PixelCount: 491463, Checksum: 63269353, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 10000, Internal Data Type: 4, Iteration Sum: 55846701, Time: 29.27
Threads: 10, Passes: 6, PixelCount: 491463, Checksum: 83707307, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 10000, Internal Data Type: 4, Iteration Sum: 55846701, Time: 23.17
Threads: 10, Passes: 7, PixelCount: 491463, Checksum: 71173926, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 10000, Internal Data Type: 4, Iteration Sum: 55846701, Time: 29.28
Threads: 10, Passes: 7, PixelCount: 491463, Checksum: 31279320, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 0, Time: 5.2
Threads: 10, Passes: 7, PixelCount: 491463, Checksum: 31279320, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 0, Time: 23.26
Threads: 10, Passes: 7, PixelCount: 490728, Checksum: 65753288, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 58754694, Time: 30.61
Threads: 10, Passes: 7, PixelCount: 490728, Checksum: 31283910, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 0, Time: 0.22
Threads: 10, Passes: 7, PixelCount: 490144, Checksum: 60112089, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 59603475, Time: 30.57
Threads: 10, Passes: 7, PixelCount: 490144, Checksum: 31246680, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 0, Time: 0.23
Threads: 10, Passes: 7, PixelCount: 490637, Checksum: 52781585, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 61027200, Time: 31.53
Threads: 10, Passes: 7, PixelCount: 490637, Checksum: 31218885, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 0, Time: 0.23
Threads: 10, Passes: 7, PixelCount: 490356, Checksum: 71075257, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 61842248, Time: 31.73
Threads: 10, Passes: 7, PixelCount: 490356, Checksum: 31260195, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 0, Time: 0.23
Threads: 10, Passes: 7, PixelCount: 489244, Checksum: 64821096, Dynamic Task Allocation: On, Truncated: True, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 39349809, Time: 29.43
Threads: 10, Passes: 7, PixelCount: 489244, Checksum: 31145190, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 0, Time: 0.22
Threads: 10, Passes: 7, PixelCount: 488720, Checksum: 63094228, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 66373745, Time: 33.66
Threads: 10, Passes: 7, PixelCount: 488720, Checksum: 31155900, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 0, Time: 0.23
Threads: 10, Passes: 7, PixelCount: 487557, Checksum: 76381662, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 69508768, Time: 35.23
Threads: 10, Passes: 7, PixelCount: 487557, Checksum: 76373269, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 5, Iteration Sum: 69509206, Time: 43.02
Threads: 10, Passes: 7, PixelCount: 487557, Checksum: 46732416, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 1, Iteration Sum: 44240196, Time: 0.32
Threads: 10, Passes: 7, PixelCount: 487557, Checksum: 48436202, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 2, Iteration Sum: 51532536, Time: 15.21
Threads: 10, Passes: 7, PixelCount: 487557, Checksum: 43324844, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 3, Iteration Sum: 59311032, Time: 26.74
Threads: 10, Passes: 7, PixelCount: 487557, Checksum: 76381662, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 69508768, Time: 34.98
Threads: 10, Passes: 7, PixelCount: 487557, Checksum: 76373269, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 5, Iteration Sum: 69509206, Time: 43.03
Threads: 10, Passes: 7, PixelCount: 487557, Checksum: 76381662, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 69508768, Time: 35.09
Threads: 10, Passes: 7, PixelCount: 487557, Checksum: 76373269, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 5, Iteration Sum: 69509206, Time: 42.89
Threads: 10, Passes: 7, PixelCount: 487557, Checksum: 76381662, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 4, Iteration Sum: 69508768, Time: 35.24
Threads: 10, Passes: 7, PixelCount: 487557, Checksum: 76373207, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 35.37
Threads: 5, Passes: 7, PixelCount: 487557, Checksum: 76373207, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 53.11
Threads: 8, Passes: 7, PixelCount: 487557, Checksum: 76373207, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 40.34
Threads: 9, Passes: 7, PixelCount: 487557, Checksum: 76373207, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 37.82
Threads: 1, Passes: 7, PixelCount: 487557, Checksum: 76373207, Dynamic Task Allocation: On, Truncated: False, ColourMapSize: 4000, Internal Data Type: 7, Iteration Sum: 69509215, Time: 259.12
